date,key,name,AM,PM,ISCS
2020-01-06 0:00,93,북춘천,서리 결빙 박무 눈,눈 박무 신적설 적설 진눈깨비 결빙 ぁ,-こ-こゎ0300-こゎ0600-0830. ぅ1130-ぅゎ1200-1210. ぅ1330-ぅゎ1500-ぅゎ1800-う1950-うゎ2100-ぁ2140-ぁゎ2400- こ1430-こゎ1500-こわ1800-こゐ2100-こゐ2400-
2020-01-09 0:00,93,북춘천,박무 결빙,박무 서리,-こ-こゎ0300-こゎ0600-こゎ0900-0930. こ2045-こゎ2100-こわ2400-
2020-01-10 0:00,93,북춘천,서리 박무 결빙,연무 박무 서리 결빙,-こ-こゐ0300-こゐ0600-こゎ0900-こゎ1200-1250. て1245-1435. こ1945-こわ2100-こわ2400-
2020-01-11 0:00,93,북춘천,박무 서리 결빙,연무 박무 달무리 서리 결빙,-こ-こゐ0300-こゐ0600-こゐ0900-こゎ1200-1207. て1205-1350. ば2135-2215. こ2240-こゎ2400-
2020-01-12 0:00,93,북춘천,박무 서리 결빙 연무,연무 서리 결빙,-こ-こゎ0300-こゎ0600-こゎ0900-1121. て1119-てゎ1200-1250.
2020-01-13 0:00,93,북춘천,서리 결빙,노을 결빙,
2020-01-14 0:00,93,북춘천,결빙 서리,노을 서리 결빙,
2020-01-15 0:00,93,북춘천,서리 결빙,노을 서리 결빙,
2020-01-16 0:00,93,북춘천,서리 결빙,무지개 서리 결빙,ぴ1550-1615.
2020-01-17 0:00,93,북춘천,서리 결빙,,
2020-01-18 0:00,93,북춘천,서리 결빙,결빙,
2020-01-19 0:00,93,북춘천,결빙 서리 눈 박무,눈 신적설 적설 박무 결빙 서리,ぅ0945-1150. こ1050-こゎ1200-こゎ1500-こゎ1800-こゎ2100-こわ2400- ぅ1250-1440.
2020-01-20 0:00,93,북춘천,서리 결빙 박무,,-こ-こわ0300-こわ0600-こゎ0900-1035.
2020-01-21 0:00,93,북춘천,노을 서리 결빙,노을 결빙,
2020-01-23 0:00,93,북춘천,결빙 서리,서리 결빙,
2020-01-24 0:00,93,북춘천,서리 결빙 박무 연무,연무 햇무리 무지개 서리 결빙,こ0330-こゎ0600-こわ0900-1145. て1140-てゎ1200-1250. は1435- ぴ1545-1615.1720.
2020-01-25 0:00,93,북춘천,서리 결빙,서리 결빙,
2020-01-26 0:00,93,북춘천,서리 결빙 박무,,こ0445-こゎ0600-0730.
2020-01-29 0:00,93,북춘천,서리 결빙 햇무리,햇무리 서리 결빙,は1150-1230.
2020-01-30 0:00,93,북춘천,서리 결빙,ぁ 진눈깨비 눈 결빙,ぁ1618-1646. う2205-ぅ2215-2255.
2020-01-31 0:00,93,북춘천,서리 결빙,서리 결빙,
2020-02-01 0:00,93,북춘천,서리 결빙 박무 연무,연무 박무 서리 결빙,こ0430-こゎ0600-こわ0900-1125. て1120-てゎ1200-てゎ1500-1750. て1850-2055. こ2050-こわ2100-こわ2400-
2020-02-02 0:00,93,북춘천,서리 결빙 박무,연무 박무 눈,-こ-こわ0300-こわ0600-こわ0900-こゎ1200-1225. て1220-1430. ぅ2050-ぅゎ2100-2125.
2020-02-03 0:00,93,북춘천,눈,결빙 서리,ぅ0050-0130.
2020-02-04 0:00,93,북춘천,서리 결빙,눈 박무 신적설 적설 결빙,ぅ1815-ぅゎ2100-2230. こ1830-こわ2100-2310.
2020-02-06 0:00,93,북춘천,결빙,결빙 서리,
2020-02-07 0:00,93,북춘천,서리 결빙,노을 결빙,
2020-02-08 0:00,93,북춘천,결빙 서리,서리 결빙,
2020-02-09 0:00,93,북춘천,서리 결빙 박무 노을,결빙,こ0530-こゎ0600-0750.
2020-02-10 0:00,93,북춘천,박무 서리 결빙,서리,こ0530-こゎ0600-こゎ0900-0940.
2020-02-11 0:00,93,북춘천,서리 결빙,,
2020-02-14 0:00,93,북춘천,박무 서리 안개 이슬 연무,연무 박무 이슬,-こ-こわ0300-こわ0600-よりぐ0640-らりこ0840-こゐ0900-1159. て1154-てゎ1200-てゎ1500-てゎ1800-1915. こ1910-こゎ2100-こわ2400-
2020-02-15 0:00,93,북춘천,이슬 박무 서리 결빙 연무,연무 ぁ 박무,-こ-こわ0300-こわ0600-こわ0900-1120. て1115-てゎ1200-1230. ぁ2130-ぁゎ2400- こ2240-こゎ2400-
2020-02-18 0:00,93,북춘천,결빙 서리 노을,결빙 서리,
2020-02-19 0:00,93,북춘천,서리 결빙 노을,서리,
2020-02-20 0:00,93,북춘천,서리 결빙 박무,박무 서리,こ0250-こゎ0300-こゎ0600-こゎ0900-1050. こ1940-こゎ2100-こゎ2400-
2020-02-21 0:00,93,북춘천,서리 박무,연무 박무 ぁ,-こ-こゎ0300-こわ0600-こわ0900-こゎ1200-1215. て1210-てゎ1500-てゎ1800-1925. こ1920-こゎ2100-こわ2400- ぁ1935-ぁゎ2100-ぁゎ2400-
